Station 	Elevation
0	370.01
3	370.02
4.32	369.96
6	369.88
8.99	369.4
11.99	368.44
14.99	367.27
17.99	366.34
20.98	365.62
23.98	365.15
26.98	365.03
29.98	365
32.98	365.31
35.97	365.53
38.97	365.96
41.97	366.59
44.97	366.81
47.96	366.87
50.96	366.97
53.96	367.35
56.96	367.67
59.96	366.67
62.95	365.51
65.95	365.13
68.95	365.24
71.95	365.26
74.94	365.02
77.94	365.08
80.94	365.2
83.94	365.24
86.94	365.28
89.93	365.38
92.93	365.42
95.93	365.35
98.93	365.39
101.92	365.41
104.92	365.4
107.92	365.45
110.92	365.54
113.92	365.58
116.91	365.67
119.91	365.54
122.91	365.22
125.91	365.34
128.9	365.41
131.9	365.17
134.9	365.07
137.9	365.03
140.9	364.96
143.89	364.96
146.89	364.99
149.89	365.07
152.89	365.12
155.89	365.22
158.88	365.28
161.88	365.15
164.88	365.01
167.88	364.93
170.87	365.05
173.87	365.1
176.87	365.09
179.87	365.03
182.87	364.99
185.86	365.19
188.86	365.17
191.86	365.19
194.86	365.69
197.85	365.5
200.85	365.02
203.85	364.96
206.85	365.19
209.85	365.27
212.84	364.93
215.84	364.84
218.84	365.12
221.84	365.39
224.83	365.59
227.83	365.41
230.83	365.36
233.83	365.3
236.83	365.23
239.82	365.16
242.82	365.32
245.82	365.45
248.82	365.29
251.81	365.24
254.81	365.26
257.81	365.48
260.81	365.81
263.81	365.48
266.8	365.19
269.8	365.29
272.8	365.28
275.8	365.09
278.79	364.99
281.79	364.93
284.79	364.82
287.79	364.76
290.79	364.7
293.78	364.6
296.78	364.53
299.78	364.33
302.78	364.38
305.77	364.6
308.77	364.66
311.77	364.6
314.77	364.56
317.77	364.31
320.76	364.07
323.76	363.95
326.76	363.86
329.76	364.04
332.75	364.03
335.75	363.78
338.75	363.72
341.75	363.69
344.75	363.6
347.74	363.68
350.74	363.98
353.74	364.07
356.74	364.1
359.73	364.16
362.73	364.41
365.73	364.61
368.73	364.71
371.73	364.71
374.72	364.7
377.72	364.54
380.72	364.38
383.72	364.27
386.71	364.25
389.71	364.27
392.71	364.24
395.71	364.12
398.71	364.19
401.7	364.32
404.7	364.34
407.7	364.41
410.7	364.48
413.69	364.55
416.69	364.55
419.69	364.68
422.69	364.75
425.69	364.63
428.68	364.42
431.68	364.32
434.68	364.22
437.68	364.06
440.67	364.17
443.67	364.28
446.67	364.12
449.67	364.06
452.67	364.11
455.66	364.11
458.66	364.07
461.66	364.15
464.66	364.34
467.65	364.17
470.65	364.03
473.65	364.14
476.65	364.16
479.65	364.11
482.64	364.2
485.64	364.4
488.64	364.71
491.64	364.51
494.64	364.28
497.63	364.37
500.63	364.39
503.63	364.39
506.63	364.43
509.62	364.44
512.62	364.43
515.62	364.56
518.62	364.7
521.62	364.91
524.61	364.78
527.61	364.54
530.61	364.39
533.61	364.37
536.6	364.41
539.6	364.5
542.6	364.67
545.6	364.78
548.6	364.73
551.59	364.38
554.59	363.93
557.59	363.6
560.59	363.47
563.58	363.53
566.58	363.68
569.58	363.66
572.58	363.57
575.58	363.68
578.57	363.9
581.57	363.72
584.57	363.47
587.57	363.4
590.56	363.48
593.56	363.53
596.56	363.4
599.56	363.27
602.56	363.14
605.55	363.18
608.55	363.35
611.55	363.56
614.55	363.69
617.54	363.76
620.54	363.88
623.54	363.98
626.54	364.21
629.54	364.16
632.53	364.15
635.53	364.3
638.53	364.4
641.53	364.3
644.53	364.24
647.52	364.36
650.52	364.25
653.52	364.18
656.52	364.28
659.51	364.33
662.51	364.4
665.51	364.59
668.51	364.63
671.51	364.86
674.5	364.99
677.5	365.09
680.5	365.24
683.5	365.39
686.49	365.33
689.49	365.27
692.49	365.24
695.49	365.29
698.49	365.34
701.48	365.33
704.48	365.45
707.48	365.43
710.48	365.39
713.47	365.5
716.47	365.58
719.47	365.64
722.47	365.62
725.47	365.56
728.46	365.56
731.46	365.73
734.46	365.86
737.46	365.87
740.46	365.79
743.45	365.68
746.45	365.75
749.45	365.77
752.45	365.89
755.44	365.92
758.44	365.9
761.44	365.51
764.44	365.17
767.44	364.92
770.43	364.85
773.43	364.66
776.43	364.41
779.43	364.26
782.42	364.13
785.42	363.67
788.42	363.48
791.42	363.32
